-GPU,0x2D475055,https://cielab.xyz/spectralcalc.php
4d2p,0x34643270,Erdt Systems GmbH & Co KG
AAMA,0x41414D41,"Aamazing Technologies, Inc."
ACER,0x41434552,Acer Peripherals
ACLT,0x41434C54,Acolyte Color Research
ACTI,0x41435449,"Actix Systems, Inc."
ADAR,0x41444152,"Adara Technology, Inc."
ADBE,0x41444245,Adobe Systems Incorporated
ADI,0x41444920,"ADI Systems, Inc."
AGFA,0x41474641,Agfa Graphics N.V.
ALMD,0x414C4D44,"Alps Electric USA, Inc."
ALPS,0x414C5053,"Alps Electric USA, Inc."
ALWN,0x414C574E,Alwan Color Expertise
AMTI,0x414D5449,"Amiable Technologies, Inc."
AOC,0x414F4320,"AOC International (U.S.A.), Ltd."
APAG,0x41504147,Apago
APPL,0x4150504C,"Apple Computer, Inc."
AST,0x41535420,AST
AT&T,0x41542654,AT&T Computer Systems
BAEL,0x4241454C,BARBIERI electronic
berg,0x62657267,bergdesign incorporated
bICC,0x62494343,basICColor GmbH
BRCO,0x4252434F,Barco NV
BRKP,0x42524B50,Breakpoint Pty Limited
BRIT,0x42524554,"Brother Industries, LTD"
BULL,0x42554C4C,Bull
BUS,0x42555320,Bus Computer Systems Ltd.
C,0xIT-432D4954,C-Itoh
CAMR,0x43414D52,Intel Corporation
CANO,0x43414E4F,"Canon, Inc. (Canon Development Americas, Inc.)"
CARR,0x43415252,Carroll Touch
CASI,0x43415349,"Casio Computer Co., Ltd."
CBUS,0x43425553,Colorbus PL
CEL,0x43454C20,Crossfield
CELx,0x43454C78,Crossfield
ceyd,0x63657964,"Integrated Color Solutions, Inc."
CGS,0x43475320,CGS Publishing Technologies International GmbH
CHM,0x43484D20,Rochester Robotics
CIGL,0x4349474C,"Colour Imaging Group, London"
CITI,0x43495449,Citizen
CL00,0x434C3030,"Candela, Ltd."
CLIQ,0x434C4951,Color IQ
clsp,0x636C7370,"MacDermid ColorSpan, Inc."
CMCO,0x434D434F,"Chromaco, Inc."
CMiX,0x434D6958,CHROMiX
CoBa,0x436F4261,ColorBase BV
CoLg,0x436F4C67,ColorLogic GmbH
COLO,0x434F4C4F,Colorgraphic Communications Corporation
COMP,0x434F4D50,COMPAQ Computer Corporation
COMp,0x434F4D70,Compeq USA/Focus Technology
CONR,0x434F4E52,Conrac Display Products
CORD,0x434F5244,"Cordata Technologies, Inc."
CPP,0x43505020,Canon Production Printing Netherlands B.V.
CPQ,0x43505120,Compaq Computer Corporation
CPRO,0x4350524F,ColorPro
CRN,0x43524E20,Cornerstone
CTX,0x43545820,"CTX International, Inc."
CVIS,0x43564953,ColorVision
CWC,0x43574320,"Fujitsu Laboratories, Ltd."
DARI,0x44415249,"Darius Technology, Ltd."
DATA,0x44415441,Dataproducts
DCP,0x44435020,Dry Creek Photo
DCRC,0x44435243,"Digital Contents Resource Center, Chung-Ang University"
DELL,0x44454C4C,Dell Computer Corporation
DIC,0x44494320,Dainippon Ink and Chemicals
DICO,0x4449434F,Diconix
DIGI,0x44494749,Digital
DL&C,0x444C2643,Digital Light & Color
DNP,0x444E502E,"Dai Nippon Printing Co.,Ltd"
DPLG,0x44504C47,"Doppelganger, LLC"
DS,0x44532020,Dainippon Screen
ds,0x64732020,Dainippon Screen
DSOL,0x44534F4C,DOOSOL
DUPN,0x4455504E,DuPont
dupn,0x6475706E,DuPont
Eizo,0x45697A6F,EIZO NANAO CORPORATION
EPSO,0x4550534F,Epson
ESKO,0x45534B4F,Esko-Graphics
ETRI,0x45545249,Electronics and Telecommunications Research Institute
EVER,0x45564552,"Everex Systems, Inc."
EXAC,0x45584143,ExactCODE GmbH
FALC,0x46414C43,"Falco Data Products, Inc."
FF,0x46462020,Fujifilm Corporation
FFEI,0x46464549,FFEI Limited
ffei,0x66666569,FFEI Limited
flux,0x666C7578,FluxData Corporation
FNRD,0x464E5244,fnord software
FORA,0x464F5241,"Fora, Inc."
FORE,0x464F5245,Forefront Technology Corporation
FP,0x46502A2A,Fujitsu
FPA,0x46504120,"WayTech Development, Inc."
FUJI,0x46554A49,Fujitsu
FX,0x46582020,FUJIFILM Business Innovation Corp.
GCC,0x47434320,"GCC Technologies, Inc."
GGSL,0x4747534C,Global Graphics Software Limited
GMB,0x474D4220,Gretagmacbeth
GMG,0x474D4720,GMG GmbH & Co. KG
GOLD,0x474F4C44,"GoldStar Technology, Inc."
GPRT,0x47505254,Giantprint Pty Ltd
GTMB,0x47544D42,Gretagmacbeth
GVC,0x47564320,WayTech Development Inc.
GW2K,0x4757324B,Sony Corporation
HCI,0x48434920,HCI
HDM,0x48444D20,Heidelberger Druckmaschinen AG
HERM,0x4845524D,Hermes
HITA,0x48495441,"Hitachi America, Ltd."
HiTi,0x48695469,"HiTi Digital, Inc."
HOLX,0x484F4C58,"Hologic, Inc."
HP,0x48502020,Hewlett-Packard
HPK,0x48504B20,Hamamatsu Photonics K.K.
HTC,0x48544320,"Hitachi, Ltd."
IBM,0x49424D20,IBM Corporation
IDNT,0x49444E54,"Scitex Corporation, Ltd."
Idnt,0x49644E74,"Scitex Corporation, Ltd."
IEC,0x49454320,Hewlett-Packard
IIYA,0x49495941,"Iiyama North America, Inc."
IKEG,0x494B4547,"Ikegami Electronics, Inc."
IMAG,0x494D4147,Image Systems Corporation
IMI,0x494D4920,"Ingram Micro, Inc."
Inca,0x496E6361,Inca Digital Printers Ltd.
INTC,0x494E5443,Intel Corporation
INTL,0x494E544C,N/A
INTR,0x494E5452,"Intra Electronics USA, Inc."
IOCO,0x494F434F,Iocomm International Technology Corporation
IPS,0x49505320,InfoPrint Solutions Company
IRIS,0x49524953,"Scitex Corporation, Ltd."
Iris,0x49726973,"Scitex Corporation, Ltd."
iris,0x69726973,"Scitex Corporation, Ltd."
ISL,0x49534C20,Ichikawa Soft Laboratory
ITNL,0x49544E4C,N/A
IVM,0x49564D20,IVM
IWAT,0x49574154,"Iwattsu Electric Co., Ltd."
JSFT,0x4A534654,Jetsoft Development
JVC,0x4A564320,JVC Information Products Co.
KART,0x4B415254,"Scitex Corporation, Ltd."
Kart,0x4B617274,"Scitex Corporation, Ltd."
kart,0x6B617274,"Scitex Corporation, Ltd."
KFC,0x4B464320,"KFC Computek Components Holdings, Inc."
KLH,0x4B4C4820,KLH Computers
KMHD,0x4B4D4844,"Konica Minolta Holdings, Inc."
KNCA,0x4B4E4341,Konica Corporation
KODA,0x4B4F4441,Kodak
KYOC,0x4B594F43,Kyocera
LCAG,0x4C434147,Leica Camera AG
LCCD,0x4C434344,Leeds Colour
LDAK,0x4C44414B,Left Dakota
LEAD,0x4C454144,"Leading Technology, Inc."
LEXM,0x4C45584D,"Lexmark International, Inc."
LGEL,0x4C47454C,LG Electronics Inc.
LINK,0x4C494E4B,"Link Computer, Inc."
LINO,0x4C494E4F,Linotronic
LITE,0x4C495445,"Lite-On, Inc."
LNV,0x4C4E5620,Lenovo
MAGC,0x4D414743,Mag Computronic (USA) Inc.
MAGI,0x4D414749,"MAG Innovision, Inc."
MANN,0x4D414E4E,Mannesmann
MICN,0x4D49434E,"Micron Technology, Inc."
MICR,0x4D494352,Microtek
MICV,0x4D494356,"Microvitek, Inc."
MINO,0x4D494E4F,Minolta
MITS,0x4D495453,"Mitsubishi Electronics America, Inc."
MITs,0x4D495473,Mitsuba Corporation
Mits,0x4D697473,MITSUBISHI ELECTRIC CORPORATION KYOTO WORKS
MNLT,0x4D4E4C54,Minolta
MODG,0x4D4F4447,"Modgraph, Inc."
MONI,0x4D4F4E49,"Monitronix, Inc."
MONS,0x4D4F4E53,Monaco Systems Inc.
MORS,0x4D4F5253,"Morse Technology, Inc."
MOTI,0x4D4F5449,Motive Systems
MSFT,0x4D535446,Microsoft Corporation
MUTO,0x4D55544F,MUTOH INDUSTRIES LTD.
NANA,0x4E414E41,NANAO USA Corporation
NEC,0x4E454320,NEC Corporation
NEXP,0x4E455850,NexPress Solutions LLC
NISS,0x4E495353,"Nissei Sangyo America, Ltd."
NKON,0x4E4B4F4E,Nikon Corporation
ob4d,0x6F623464,Erdt Systems GmbH & Co KG
obic,0x6F626963,Medigraph GmbH
OCE,0x4F434520,Oce Technologies B.V.
OCEC,0x4F434543,OceColor
OKI,0x4F4B4920,Oki
OKID,0x4F4B4944,Okidata
OKIP,0x4F4B4950,Okidata
OLTV,0x4F4C5456,Olivetti
OLYM,0x4F4C5954,"OLYMPUS OPTICAL CO., LTD"
ONYX,0x4F4E5958,Onyx Graphics
OPTI,0x4F505449,Optiquest
PACK,0x5041434B,Packard Bell
PANA,0x50414E41,"Matsushita Electric Industrial Co., Ltd."
PANT,0x50414E54,"Pantone, Inc."
PAQA,0x50415141,PathQA Ltd
PBN,0x50424E20,Packard Bell
PFU,0x50465520,PFU Limited
PHIL,0x5048494C,Philips Consumer Electronics Co.
php,0x2E706870,https://cielab.xyz/spectralcalc.php
PKDS,0x504B4453,Polkadots Software Inc.
PNTX,0x504E5458,HOYA Corporation PENTAX Imaging Systems Division
POne,0x504F6E65,Phase One A/S
PREM,0x5052454D,Premier Computer Innovations
PRIN,0x5052494E,Princeton Graphic Systems
PRIP,0x50524950,Princeton Publishing Labs
QLUX,0x514C5558,"QMS, Inc."
QMS,0x514D5320,"QMS, Inc."
QPCD,0x51504344,QPcard AB
QUAD,0x51554144,QuadLaser
quby,0x71756279,Qubyx Sarl
QUME,0x51554D45,Qume Corporation
RADI,0x52414449,"Radius, Inc."
RDX,0x52444458,"Integrated Color Solutions, Inc."
RDG,0x52444720,Roland DG Corporation
REDM,0x5245444D,"REDMS Group, Inc."
RELI,0x52454C49,Relisys
REPR,0x52455052,Reprointeleine e.K.
RGMS,0x52474D53,Rolf Gierling Multitools
RICO,0x5249434F,Ricoh Corporation
RNLD,0x524E4C44,Edmund Ronald
ROYA,0x524F5941,Royal
RPC,0x52504320,"Ricoh Printing Systems, Ltd."
RTL,0x52544C20,"Royal Information Electronics Co., Ltd."
SAMP,0x53414D50,Sampo Corporation of America
SAMS,0x53414D53,"Samsung, Inc."
SANT,0x53414E54,Jaime Santana Pomares
SCIT,0x53434954,"Scitex Corporation, Ltd."
Scit,0x53636974,"Scitex Corporation, Ltd."
scit,0x73636974,"Scitex Corporation, Ltd."
SCRN,0x5343524E,Dainippon Screen
scrn,0x7363726E,Dainippon Screen
SDP,0x53445020,"Scitex Corporation, Ltd."
Sdp,0x53647020,"Scitex Corporation, Ltd."
sdp,0x73647020,"Scitex Corporation, Ltd."
SEC,0x53454320,"SAMSUNG ELECTRONICS CO., LTD"
SEIK,0x5345494B,"Seiko Instruments U.S.A., Inc."
SEIK,0x5345494B,Seikosha
SGUY,0x53475559,ScanGuy.com
SHAR,0x53484152,Sharp Laboratories
ISCC,0x53494343,International Color Consortium
siwi,0x73697769,SIWI GRAFIKA CORPORATION
SONY,0x534F4E59,SONY Corporation
Sony,0x536F6E79,Sony Corporation
SPCL,0x5350434C,SpectraCal
STAR,0x53544152,Star
STC,0x53544320,Sampo Technology Corporation
TALO,0x54414C4F,Talon Technology Corporation
TAND,0x54414E44,Tandy
TATU,0x54415455,"Tatung Co. of America, Inc."
TAXA,0x54415841,"TAXAN America, Inc."
TDS,0x54445320,Tokyo Denshi Sekei K.K.
TECO,0x5445434F,"TECO Information Systems, Inc."
TEGR,0x54454752,Tegra
TEKT,0x54454B54,"Tektronix, Inc."
TI,0x54492020,Texas Instruments
TMKR,0x544D4B52,TypeMaker Ltd.
TOSB,0x544F5342,TOSHIBA corp.
TOSH,0x544F5348,"Toshiba, Inc."
TOSH,0x544F53,Toshiba
TOTK,0x544F544B,"TOTOKU ELECTRIC Co., LTD"
TRIU,0x54524955,Triumph
TSBT,0x54534254,TOSHIBA TEC CORPORATION
TTX,0x54545820,"TTX Computer Products, Inc."
TVM,0x54564D20,TVM Professional Monitor Corporation
TW,0x54572020,TW Casper Corporation
ULSX,0x554C5358,Ulead Systems
UNIS,0x554E4953,Unisys
UTFZ,0x5554465A,Utz Fehlau & Sohn
VARI,0x56415249,Varityper
VIEW,0x56494557,Viewsonic
VISL,0x5649534C,Visual communication
VIVO,0x5649564F,"Vivo Mobile Communication Co., Ltd."
WANG,0x57414E47,Wang
WGTI,0x57475449,Winglobal Technology Inc.
WLBR,0x574C4252,Wilbur Imaging
WTG2,0x57544732,Ware To Go
WYSE,0x57595345,WYSE Technology
XERX,0x58455258,Xerox Corporation
XLOG,0x584C4F47,Excellence Logging
XM,0x584D2020,"Xiaomi Communications Co., Ltd."
XRIT,0x58524954,X-Rite
xyym,0x7978796D,XyyMaster GmbH
Z123,0x5A313233,Lavanya's test Company
Zebr,0x5A656272,Zebra Technologies Inc
ZORT,0x5A4F5254,Osturdum Inc.
ZRAN,0x5A52414E,Zoran Corporation
